sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,a,w,d,s
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,1,0,0
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,1,0,0
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,1,0,0
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,1,0,0
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,1,0,0
1.000000,1.000000,1.000000,1.000000,0.266787,0.274632,0,1,0,0
1.000000,1.000000,1.000000,1.000000,0.228969,0.236828,0,1,0,0
1.000000,1.000000,1.000000,1.000000,0.197813,0.205685,0,1,0,0
1.000000,1.000000,1.000000,1.000000,0.160006,0.167881,0,1,0,0
1.000000,1.000000,1.000000,1.000000,0.124440,0.132311,1,0,0,0
1.000000,1.000000,1.000000,1.000000,0.121799,0.147109,1,0,0,0
1.000000,1.000000,0.186104,1.000000,0.132671,0.177738,1,0,0,0
1.000000,1.000000,0.129716,1.000000,0.158956,0.227546,1,0,0,0
1.000000,1.000000,0.102163,1.000000,0.202562,1.000000,1,0,0,0
0.248290,1.000000,0.097461,1.000000,0.294625,1.000000,1,0,0,0
0.187093,1.000000,0.098162,1.000000,1.000000,1.000000,1,0,0,0
0.145765,1.000000,0.110848,1.000000,1.000000,1.000000,1,0,0,0
0.119581,1.000000,0.138530,1.000000,1.000000,1.000000,0,1,0,0
0.121384,1.000000,0.143780,1.000000,1.000000,1.000000,0,1,0,0
0.124548,1.000000,0.146933,1.000000,1.000000,1.000000,0,1,0,0
0.127884,1.000000,0.150309,1.000000,1.000000,1.000000,0,1,0,0
0.131242,1.000000,0.153662,1.000000,1.000000,1.000000,0,1,0,0
0.134600,1.000000,0.157007,1.000000,1.000000,1.000000,0,1,0,0
0.138172,1.000000,0.160574,1.000000,1.000000,1.000000,0,1,0,0
1.000000,1.000000,0.187590,1.000000,1.000000,1.000000,0,0,1,0
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,1,0,0
1.000000,1.000000,0.151568,1.000000,1.000000,1.000000,0,1,0,0
1.000000,1.000000,0.153939,1.000000,1.000000,1.000000,0,1,0,0
1.000000,1.000000,0.156293,1.000000,1.000000,1.000000,0,1,0,0
1.000000,1.000000,0.158379,1.000000,1.000000,1.000000,0,1,0,0
1.000000,1.000000,0.160750,1.000000,1.000000,1.000000,0,1,0,0
1.000000,1.000000,0.162815,1.000000,1.000000,1.000000,0,1,0,0
1.000000,1.000000,0.165170,1.000000,1.000000,1.000000,0,1,0,0
0.151954,1.000000,0.167674,1.000000,1.000000,1.000000,0,1,0,0
